,associatedCards,associatedCardRefs,assets,region,regionRef,attack,cost,health,description,descriptionRaw,levelupDescription,levelupDescriptionRaw,flavorText,artistName,name,cardCode,keywords,keywordRefs,spellSpeed,spellSpeedRef,rarity,rarityRef,subtype,subtypes,supertype,type,collectible,set
0,[],[],"[{'gameAbsolutePath': 'http://dd.b.pvp.net/1_8_0/set1/en_us/img/cards/01IO012T2.png', 'fullAbsolutePath': 'http://dd.b.pvp.net/1_8_0/set1/en_us/img/cards/01IO012T2-full.png'}]",Ionia,Ionia,0,3,0,Give an ally +0|+3 this round.,Give an ally +0|+3 this round.,,,,SIXMOREVODKA,Discipline of Fortitude,01IO012T2,['Burst'],['Burst'],Burst,Burst,None,None,,[],,Spell,False,Set1
1,[],"['01NX020T2', '01NX020', '01NX020T1']","[{'gameAbsolutePath': 'http://dd.b.pvp.net/1_8_0/set1/en_us/img/cards/01NX020T3.png', 'fullAbsolutePath': 'http://dd.b.pvp.net/1_8_0/set1/en_us/img/cards/01NX020T3-full.png'}]",Noxus,Noxus,4,3,4,<link=vocab.Play><style=Vocab>Play</style></link> or <link=vocab.Strike><style=Vocab>Strike</style></link>: Create 2 <link=card.create><style=AssociatedCard>Spinning Axes</style></link> in hand.,Play or Strike: Create 2 Spinning Axes in hand.,,,"""WHAT'S MY NAME?""",SIXMOREVODKA,Draven,01NX020T3,"['Quick Attack', 'Overwhelm']","['QuickStrike', 'Overwhelm']",,,None,None,,[],Champion,Unit,False,Set1
2,[],[],"[{'gameAbsolutePath': 'http://dd.b.pvp.net/1_8_0/set1/en_us/img/cards/01DE031.png', 'fullAbsolutePath': 'http://dd.b.pvp.net/1_8_0/set1/en_us/img/cards/01DE031-full.png'}]",Demacia,Demacia,1,3,4,<link=vocab.RoundEnd><style=Vocab>Round End</style></link>: Grant other allies +1|+1 if an ally died this round.,Round End: Grant other allies +1|+1 if an ally died this round.,,,"""Evil has taken the hour, but it will not win the day. Remember our fallen, and wear their memories like armor!""",SIXMOREVODKA,Dawnspeakers,01DE031,[],[],,,EPIC,Epic,,[],,Unit,True,Set1
3,[],['01NX006'],"[{'gameAbsolutePath': 'http://dd.b.pvp.net/1_8_0/set1/en_us/img/cards/01NX006T4.png', 'fullAbsolutePath': 'http://dd.b.pvp.net/1_8_0/set1/en_us/img/cards/01NX006T4-full.png'}]",Noxus,Noxus,0,0,0,"For each attacking ally other than <link=card.vlad><style=AssociatedCard>Vladimir</style></link>, deal 1 to it and <link=keyword.Drain><style=Keyword>drain</style></link> 1 from the enemy Nexus.","For each attacking ally other than Vladimir, deal 1 to it and drain 1 from the enemy Nexus.",,,"""Delicious."" - Vladimir",Max Grecke,Crimson Pact,01NX006T4,['Skill'],['Skill'],,,None,None,,[],,Ability,False,Set1
4,[],"['01PZ040T1', '01PZ040']","[{'gameAbsolutePath': 'http://dd.b.pvp.net/1_8_0/set1/en_us/img/cards/01PZ040T3.png', 'fullAbsolutePath': 'http://dd.b.pvp.net/1_8_0/set1/en_us/img/cards/01PZ040T3-full.png'}]",Piltover & Zaun,PiltoverZaun,0,3,0,"To play, discard 1. Deal 3 to anything.
Shuffle a <link=card.level1><style=AssociatedCard>Jinx</style></link> into your deck.","To play, discard 1. Deal 3 to anything.
Shuffle a Jinx into your deck.",,,"""FIRE IN THE CABOODLE!"" - Jinx",Original Force,Jinx's Get Excited!,01PZ040T3,['Fast'],['Fast'],Fast,Fast,None,None,,[],Champion,Spell,False,Set1
5,[],"['01FR024', '01FR024T3']","[{'gameAbsolutePath': 'http://dd.b.pvp.net/1_8_0/set1/en_us/img/cards/01FR024T2.png', 'fullAbsolutePath': 'http://dd.b.pvp.net/1_8_0/set1/en_us/img/cards/01FR024T2-full.png'}]",Freljord,Freljord,0,0,0,Deal 1 to all enemies and the enemy Nexus.,Deal 1 to all enemies and the enemy Nexus.,,,The storm that comes before the calm.,SIXMOREVODKA,Glacial Storm,01FR024T2,['Skill'],['Skill'],,,None,None,,[],,Ability,False,Set1
6,[],"['01PZ008', '01PZ022', '01PZ008T1']","[{'gameAbsolutePath': 'http://dd.b.pvp.net/1_8_0/set1/en_us/img/cards/01PZ008T2.png', 'fullAbsolutePath': 'http://dd.b.pvp.net/1_8_0/set1/en_us/img/cards/01PZ008T2-full.png'}]",Piltover & Zaun,PiltoverZaun,2,1,2,<link=vocab.Nexus Strike><style=Vocab>Nexus Strike</style></link>: Double the <link=card.shuffle><style=AssociatedCard>Poison Puffcaps</style></link> in the enemy deck.,Nexus Strike: Double the Poison Puffcaps in the enemy deck.,,,"""... make sure you're out of the blast zone!""",SIXMOREVODKA,Teemo,01PZ008T2,['Elusive'],['Elusive'],,,None,None,,[],Champion,Unit,False,Set1
7,[],"['01DE038', '01DE022T1', '01DE022T2']","[{'gameAbsolutePath': 'http://dd.b.pvp.net/1_8_0/set1/en_us/img/cards/01DE022.png', 'fullAbsolutePath': 'http://dd.b.pvp.net/1_8_0/set1/en_us/img/cards/01DE022-full.png'}]",Demacia,Demacia,3,2,2,,,"I've seen 4+ allies or an allied <link=card.senna><style=AssociatedCard>Senna, Sentinel of Light</style></link> die<style=Variable></style>.","I've seen 4+ allies or an allied Senna, Sentinel of Light die.","""I'll be alright, Senna, long as I've got you.""",SIXMOREVODKA,Lucian,01DE022,['Quick Attack'],['QuickStrike'],,,Champion,Champion,,[],Champion,Unit,True,Set1
8,[],"['01IO015', '01IO015T2']","[{'gameAbsolutePath': 'http://dd.b.pvp.net/1_8_0/set1/en_us/img/cards/01IO015T1.png', 'fullAbsolutePath': 'http://dd.b.pvp.net/1_8_0/set1/en_us/img/cards/01IO015T1-full.png'}]",Ionia,Ionia,5,4,5,"When you <link=keyword.Stun><sprite name=Stunned><style=Keyword>Stun</style></link> or <link=keyword.Recall><style=Keyword>Recall</style></link> an enemy, I strike it.","When you Stun or Recall an enemy, I strike it.",,,"""...always by my side.""",SIXMOREVODKA,Yasuo,01IO015T1,['Quick Attack'],['QuickStrike'],,,None,None,,[],Champion,Unit,False,Set1
9,[],"['01PZ056T10', '01PZ056T3', '01PZ056T1', '01PZ056T4', '01PZ056T7', '01PZ056T8', '01PZ056T9', '01PZ056T2', '01PZ056T6', '01PZ056T5', '01PZ015']","[{'gameAbsolutePath': 'http://dd.b.pvp.net/1_8_0/set1/en_us/img/cards/01PZ056.png', 'fullAbsolutePath': 'http://dd.b.pvp.net/1_8_0/set1/en_us/img/cards/01PZ056-full.png'}]",Piltover & Zaun,PiltoverZaun,1,5,3,"When you cast a spell, create a <link=keyword.Fleeting><sprite name=Fleeting><style=Keyword>Fleeting</style></link> Turret in hand with equal cost. It costs 0 this round.","When you cast a spell, create a Fleeting Turret in hand with equal cost. It costs 0 this round.",I've seen you summon 12+ Power of Turrets<style=Variable></style>.,I've seen you summon 12+ Power of Turrets.,"""Mad scientist? Pft! I'm clearly a very-stable-if-slightly-disorganized-and-eclectic scientist, thank you very much!""",SIXMOREVODKA,Heimerdinger,01PZ056,['Imbue'],['Imbue'],,,Champion,Champion,,[],Champion,Unit,True,Set1
10,[],[],"[{'gameAbsolutePath': 'http://dd.b.pvp.net/1_8_0/set1/en_us/img/cards/01IO020.png', 'fullAbsolutePath': 'http://dd.b.pvp.net/1_8_0/set1/en_us/img/cards/01IO020-full.png'}]",Ionia,Ionia,2,2,3,"When I'm summoned, give other allies +1|+0 this round.","When I'm summoned, give other allies +1|+0 this round.",,,"""On this day, yours will become the face of discipline, training, humility, and balance. Today, you become Kinkou.""",SIXMOREVODKA,Keeper of Masks,01IO020,[],[],,,COMMON,Common,,[],,Unit,True,Set1
11,[],"['01FR039', '01FR039T2']","[{'gameAbsolutePath': 'http://dd.b.pvp.net/1_8_0/set1/en_us/img/cards/01FR039T1.png', 'fullAbsolutePath': 'http://dd.b.pvp.net/1_8_0/set1/en_us/img/cards/01FR039T1-full.png'}]",Freljord,Freljord,0,8,0,"Grant an ally +8|+4.
Shuffle a <link=card.level1><style=AssociatedCard>Tryndamere</style></link> into your deck.","Grant an ally +8|+4.
Shuffle a Tryndamere into your deck.",,,“I've been told I have a... temper.” - Tryndamere,SIXMOREVODKA,Tryndamere's Battle Fury,01FR039T1,['Burst'],['Burst'],Burst,Burst,None,None,,[],Champion,Spell,False,Set1
